"year","month","time","ts","hhi.fmax","hhi.max","hhi.sum","hhi.avg","duration","ts.start","ts.stop"
1632,5,"1632-5-15 00:00:00",1632.38,-3.2283141256488,-3.299427,-90.357066,-2.31684784615385,39,1630.21,1633.38
1615,12,"1615-12-15 00:00:00",1615.96,-3.90322679298682,-3.804465,-85.048842,-3.14995711111111,27,1615.04,1617.21
1706,8,"1706-8-15 00:00:00",1706.62,-4.14818721542381,-4,-72.19553,-2.77675115384615,26,1705.46,1707.54
1864,12,"1864-12-15 00:00:00",1864.96,-3.01534215465695,-3.36301,-59.195809,-2.27676188461538,26,1863.96,1866.04
1814,10,"1814-10-15 00:00:00",1814.79,-3.47274306877229,-3.531513,-55.796525,-2.42593586956522,23,1813.96,1815.79
1858,6,"1858-6-15 00:00:00",1858.46,-3.05345689754394,-3,-51.892292,-2.47106152380952,21,1857.12,1858.79
1803,2,"1803-2-15 00:00:00",1803.12,-3.49253908807272,-3.583738,-48.23829,-2.4119145,20,1802.21,1803.79
1921,7,"1921-7-15 00:00:00",1921.54,-3.69081128167338,-3.481044,-45.568357,-2.68049158823529,17,1920.79,1922.12
1567,7,"1567-7-15 00:00:00",1567.54,-2.92658144903097,-2.96163,-44.936238,-2.04255627272727,22,1566.29,1568.04
1681,7,"1681-7-15 00:00:00",1681.54,-3.50833148604702,-3.583738,-42.747366,-2.8498244,15,1680.54,1681.71
1893,8,"1893-8-15 00:00:00",1893.62,-4.18572092341894,-4,-40.946132,-3.14970246153846,13,1893.21,1894.21
1819,5,"1819-5-15 00:00:00",1819.38,-3.03446725999801,-3.36301,-40.713102,-2.544568875,16,1818.46,1819.71
1590,11,"1590-11-15 00:00:00",1590.88,-4.17878873147024,-4,-39.646485,-3.04972961538462,13,1590.21,1591.21
1522,1,"1522-1-15 00:00:00",1522.04,-4.09866098854309,-4,-39.379423,-2.81281592857143,14,1521.29,1522.38
1800,8,"1800-8-15 00:00:00",1800.62,-3.86048317239849,-3.971446,-37.531348,-2.50208986666667,15,1799.88,1801.04
1626,6,"1626-6-15 00:00:00",1626.46,-3.42770416340632,-3.142283,-37.524088,-2.20729929411765,17,1625.62,1626.96
1750,3,"1750-3-15 00:00:00",1750.21,-2.94032939943059,-2.65175,-37.007837,-2.17693158823529,17,1749.54,1750.88
1834,11,"1834-11-15 00:00:00",1834.88,-3.78364137678754,-3.726245,-36.450731,-2.80390238461538,13,1834.12,1835.12
1540,10,"1540-10-15 00:00:00",1540.79,-4.11199209844536,-4,-36.188114,-3.28982854545455,11,1540.38,1541.21
1536,10,"1536-10-15 00:00:00",1536.79,-3.59320052878982,-3.481044,-34.080026,-2.43428757142857,14,1536.12,1537.21
1842,8,"1842-8-15 00:00:00",1842.62,-3.43624834326672,-3.481044,-34.069345,-2.62071884615385,13,1842.04,1843.04
1603,11,"1603-11-15 00:00:00",1603.88,-3.19053831633479,-3.142283,-31.679151,-2.43685776923077,13,1602.96,1603.96
1635,1,"1635-1-15 00:00:00",1635.04,-3.54882914284221,-3.7636,-31.340143,-2.23858164285714,14,1634.21,1635.29
1684,7,"1684-7-15 00:00:00",1684.54,-3.10722132631878,-3,-30.23843,-2.15988785714286,14,1684.29,1685.38
1686,5,"1686-5-15 00:00:00",1686.38,-3.08036015705668,-3,-30.154793,-2.01031953333333,15,1685.79,1686.96
1757,2,"1757-2-15 00:00:00",1757.12,-3.27156308419376,-3,-29.381631,-2.09868792857143,14,1756.71,1757.79
1600,1,"1600-1-15 00:00:00",1600.04,-3.30683804466483,-3,-29.235643,-2.65778572727273,11,1599.79,1600.62
1963,2,"1963-2-15 00:00:00",1963.12,-2.99351293831905,-2.912313,-28.984604,-2.22958492307692,13,1962.46,1963.46
1991,8,"1991-8-15 00:00:00",1991.62,-2.9846245791842,-3,-28.385659,-2.36547158333333,12,1991.12,1992.04
1701,8,"1701-8-15 00:00:00",1701.62,-3.28666840696622,-3,-27.348413,-2.48621936363636,11,1701.29,1702.12
2018,11,"2018-11-15 00:00:00",2018.88,-3.27771982780994,-3.35465,-27.302502,-2.10019246153846,13,2018.12,2019.12
1669,9,"1669-9-15 00:00:00",1669.71,-3.26940597214327,-3.142283,-27.129728,-2.7129728,10,1669.38,1670.12
1972,2,"1972-2-15 00:00:00",1972.12,-3.04105328974579,-3,-27.047255,-2.25393791666667,12,1971.54,1972.46
1822,6,"1822-6-15 00:00:00",1822.46,-2.89663053518763,-2.96163,-26.76825,-2.2306875,12,1822.12,1823.04
1727,8,"1727-8-15 00:00:00",1727.62,-3.2881781351168,-3,-25.653231,-2.5653231,10,1727.38,1728.12
1949,10,"1949-10-15 00:00:00",1949.79,-3.18579746466637,-2.96163,-24.979248,-2.4979248,10,1949.46,1950.21
1556,8,"1556-8-15 00:00:00",1556.62,-3.25467310225629,-3,-24.921001,-2.4921001,10,1556.29,1557.04
1778,2,"1778-2-15 00:00:00",1778.12,-3.20590520583764,-2.752293,-24.597756,-2.23615963636364,11,1777.62,1778.46
1588,1,"1588-1-15 00:00:00",1588.04,-2.88155191337947,-2.752293,-24.574346,-2.04786216666667,12,1587.29,1588.21
1782,7,"1782-7-15 00:00:00",1782.54,-3.10757105218308,-3,-23.256269,-2.3256269,10,1782.12,1782.88
1794,7,"1794-7-15 00:00:00",1794.54,-2.39466172534443,-2.50024,-23.163328,-1.78179446153846,13,1793.62,1794.62
1799,3,"1799-3-15 00:00:00",1799.21,-2.5911313716841,-2.832654,-22.168419,-2.01531081818182,11,1798.62,1799.46
1718,9,"1718-9-15 00:00:00",1718.71,-3.28280057406939,-3,-22.047414,-2.44971266666667,9,1718.46,1719.12
1953,12,"1953-12-15 00:00:00",1953.96,-2.67624386101699,-2.595922,-22.008175,-2.2008175,10,1953.62,1954.38
1504,8,"1504-8-15 00:00:00",1504.62,-3.05319776739464,-2.96163,-21.463349,-2.38481655555556,9,1504.29,1504.96
1870,6,"1870-6-15 00:00:00",1870.46,-3.24715348503311,-3,-21.388457,-2.37649522222222,9,1870.04,1870.71
1832,9,"1832-9-15 00:00:00",1832.71,-2.96703059035616,-2.65175,-21.330744,-2.1330744,10,1832.12,1832.88
1719,8,"1719-8-15 00:00:00",1719.62,-3.37044015869106,-3,-20.998044,-2.6247555,8,1719.38,1719.96
1534,8,"1534-8-15 00:00:00",1534.62,-2.93999937064279,-3,-20.988603,-2.332067,9,1534.38,1535.04
1781,7,"1781-7-15 00:00:00",1781.54,-3.23059751304975,-3,-20.801183,-2.600147875,8,1781.21,1781.79
1715,1,"1715-1-15 00:00:00",1715.04,-2.70703523338947,-2.944267,-20.423919,-2.26932433333333,9,1714.88,1715.54
1516,9,"1516-9-15 00:00:00",1516.71,-3.2000116140359,-3,-20.008014,-2.50100175,8,1516.38,1516.96
1796,4,"1796-4-15 00:00:00",1796.29,-3.50354309173731,-3,-19.721209,-1.9721209,10,1795.71,1796.46
1909,5,"1909-5-15 00:00:00",1909.38,-2.55786416872284,-2.553777,-19.694552,-2.18828355555556,9,1908.79,1909.46
1773,8,"1773-8-15 00:00:00",1773.62,-2.80976605944305,-2.50024,-19.661023,-1.78736572727273,11,1772.88,1773.71
1561,8,"1561-8-15 00:00:00",1561.62,-2.89056027346604,-2.944267,-19.613607,-2.17928966666667,9,1561.46,1562.12
1678,8,"1678-8-15 00:00:00",1678.62,-3.27249054691225,-3,-19.382661,-2.422832625,8,1678.38,1678.96
1554,8,"1554-8-15 00:00:00",1554.62,-2.94290481601541,-3,-18.704968,-2.07832977777778,9,1554.12,1554.79
1609,10,"1609-10-15 00:00:00",1609.79,-2.48133661102909,-2.528333,-18.089906,-1.8089906,10,1609.29,1610.04
1777,2,"1777-2-15 00:00:00",1777.12,-3.38282991038672,-2.96163,-16.971188,-2.42445542857143,7,1776.79,1777.29
1813,4,"1813-4-15 00:00:00",1813.29,-3.5530071250408,-3,-16.720645,-2.38866357142857,7,1812.96,1813.46
1898,1,"1898-1-15 00:00:00",1898.04,-3.40800787449506,-3,-16.585224,-2.36931771428571,7,1897.79,1898.29
1726,9,"1726-9-15 00:00:00",1726.71,-3.00203445822248,-2.96163,-16.396937,-2.34241957142857,7,1726.38,1726.88
1653,7,"1653-7-15 00:00:00",1653.54,-2.9646824693786,-3,-16.105584,-2.30079771428571,7,1653.29,1653.79
1911,8,"1911-8-15 00:00:00",1911.62,-2.89867143522176,-2.553777,-16.021962,-1.780218,9,1911.12,1911.79
1517,6,"1517-6-15 00:00:00",1517.46,-3.41628162140743,-3.142283,-15.632047,-2.60534116666667,6,1517.12,1517.54
1700,9,"1700-9-15 00:00:00",1700.71,-2.97173362124921,-2.96163,-15.519696,-1.939962,8,1700.29,1700.88
1575,12,"1575-12-15 00:00:00",1575.96,-2.98818206876588,-2.672504,-15.446647,-2.20666385714286,7,1575.54,1576.04
1509,11,"1509-11-15 00:00:00",1509.88,-2.63016361397954,-2.528333,-15.165333,-2.16647614285714,7,1509.62,1510.12
1779,4,"1779-4-15 00:00:00",1779.29,-3.23958023325369,-3,-15.078401,-2.51306683333333,6,1779.04,1779.46
2003,8,"2003-8-15 00:00:00",2003.62,-2.35264518847185,-2.43257,-14.753845,-1.4753845,10,2003.21,2003.96
1882,3,"1882-3-15 00:00:00",1882.21,-3.11105125120845,-2.96163,-14.425221,-2.4042035,6,1881.96,1882.38
1934,5,"1934-5-15 00:00:00",1934.38,-2.92030273551164,-2.672504,-14.344563,-1.59384033333333,9,1933.88,1934.54
1959,9,"1959-9-15 00:00:00",1959.71,-2.70104294701754,-2.553777,-14.054582,-2.00779742857143,7,1959.46,1959.96
1559,8,"1559-8-15 00:00:00",1559.62,-2.7678193186622,-2.595922,-14.023359,-2.003337,7,1559.29,1559.79
1666,7,"1666-7-15 00:00:00",1666.54,-3.20808421209005,-3,-14.018145,-2.3363575,6,1666.29,1666.71
1652,6,"1652-6-15 00:00:00",1652.46,-2.88923327207145,-3,-14.017779,-2.3362965,6,1652.21,1652.62
1887,9,"1887-9-15 00:00:00",1887.71,-3.37669227906789,-2.944267,-13.958976,-2.326496,6,1887.46,1887.88
1729,10,"1729-10-15 00:00:00",1729.79,-3.40191758369632,-2.595922,-13.932734,-2.32212233333333,6,1729.54,1729.96
1755,2,"1755-2-15 00:00:00",1755.12,-2.69329655507523,-2.45109,-13.659075,-1.95129642857143,7,1754.62,1755.12
1629,11,"1629-11-15 00:00:00",1629.88,-2.69791430695472,-2.944267,-13.626418,-2.27106966666667,6,1629.62,1630.04
1846,9,"1846-9-15 00:00:00",1846.71,-2.87868860298345,-2.944267,-13.602361,-2.26706016666667,6,1846.46,1846.88
1891,4,"1891-4-15 00:00:00",1891.29,-2.60324161997765,-2.595922,-13.552135,-2.25868916666667,6,1890.96,1891.38
1889,2,"1889-2-15 00:00:00",1889.12,-2.94084158469708,-2.528333,-13.298825,-2.21647083333333,6,1888.96,1889.38
1623,11,"1623-11-15 00:00:00",1623.88,-2.94018890786102,-2.96163,-13.004054,-2.16734233333333,6,1623.54,1623.96
1874,2,"1874-2-15 00:00:00",1874.12,-3.22909255596522,-2.944267,-12.824769,-2.1374615,6,1873.88,1874.29
1759,5,"1759-5-15 00:00:00",1759.38,-1.71279698023702,-2.130625,-12.775401,-1.06461675,12,1758.71,1759.62
1919,8,"1919-8-15 00:00:00",1919.62,-2.61799596642042,-2.528333,-12.770492,-2.12841533333333,6,1919.38,1919.79
1783,8,"1783-8-15 00:00:00",1783.62,-2.73372467952165,-2.595922,-12.424386,-2.070731,6,1783.46,1783.88
1786,3,"1786-3-15 00:00:00",1786.21,-2.42051668574724,-2.230214,-12.42151,-1.77450142857143,7,1785.88,1786.38
1929,3,"1929-3-15 00:00:00",1929.21,-2.70796623683854,-2.528333,-12.129855,-2.0216425,6,1929.04,1929.46
1586,12,"1586-12-15 00:00:00",1586.96,-2.69820028150576,-2.343298,-12.071366,-2.01189433333333,6,1586.54,1586.96
1892,9,"1892-9-15 00:00:00",1892.71,-2.42182097889346,-2.230214,-12.02913,-1.71844714285714,7,1892.21,1892.71
1787,9,"1787-9-15 00:00:00",1787.71,-2.93503618512183,-2.912313,-11.969113,-2.3938226,5,1787.46,1787.79
1691,11,"1691-11-15 00:00:00",1691.88,-3.01547439401998,-2.595922,-11.86602,-1.97767,6,1691.62,1692.04
1903,6,"1903-6-15 00:00:00",1903.46,-2.56146257073586,-2.595922,-11.609837,-1.93497283333333,6,1903.12,1903.54
1933,4,"1933-4-15 00:00:00",1933.29,-2.84502356254723,-2.96163,-11.487817,-2.2975634,5,1932.96,1933.29
1835,9,"1835-9-15 00:00:00",1835.71,-3.39964546753466,-2.96163,-11.377658,-2.2755316,5,1835.38,1835.71
