"year","month","time","ts","hdi","hwi","hhi","hdwi"
1500,1,"1500-1-15 00:00:00",1500.04,-0.020291,0,-0.020291,-0.020291
1500,2,"1500-2-15 00:00:00",1500.12,-0.020291,0,-0.020291,-0.020291
1500,3,"1500-3-15 00:00:00",1500.21,-0.020291,0,-0.020291,-0.020291
1500,4,"1500-4-15 00:00:00",1500.29,0,0.905199,0.905199,0.905199
1500,5,"1500-5-15 00:00:00",1500.38,0,1.220285,1.220285,1.220285
1500,6,"1500-6-15 00:00:00",1500.46,-1.5,0,-1.5,-1.5
1500,7,"1500-7-15 00:00:00",1500.54,-2,0,-2,-2
1500,8,"1500-8-15 00:00:00",1500.62,-0.020291,1.5,1.5,1.479709
1500,9,"1500-9-15 00:00:00",1500.71,-0.015052,1.220285,1.220285,1.205233
1500,10,"1500-10-15 00:00:00",1500.79,-0.020291,0,-0.020291,-0.020291
1500,11,"1500-11-15 00:00:00",1500.88,0,0.905199,0.905199,0.905199
1500,12,"1500-12-15 00:00:00",1500.96,0,1.220285,1.220285,1.220285
1501,1,"1501-1-15 00:00:00",1501.04,-0.015052,0.599997,0.599997,0.584945
1501,2,"1501-2-15 00:00:00",1501.12,-0.020291,0,-0.020291,-0.020291
1501,3,"1501-3-15 00:00:00",1501.21,0,0.905199,0.905199,0.905199
1501,4,"1501-4-15 00:00:00",1501.29,0,1.220285,1.220285,1.220285
1501,5,"1501-5-15 00:00:00",1501.38,0,1.220285,1.220285,1.220285
1501,6,"1501-6-15 00:00:00",1501.46,-0.015052,0.599997,0.599997,0.584945
1501,7,"1501-7-15 00:00:00",1501.54,-0.020291,0,-0.020291,-0.020291
1501,8,"1501-8-15 00:00:00",1501.62,0,1.5,1.5,1.5
1501,9,"1501-9-15 00:00:00",1501.71,-0.015052,1.220285,1.220285,1.205233
1501,10,"1501-10-15 00:00:00",1501.79,-0.020291,0,-0.020291,-0.020291
1501,11,"1501-11-15 00:00:00",1501.88,0,1.645049,1.645049,1.645049
1501,12,"1501-12-15 00:00:00",1501.96,0,2.193285,2.193285,2.193285
1502,1,"1502-1-15 00:00:00",1502.04,0,2.291056,2.291056,2.291056
1502,2,"1502-2-15 00:00:00",1502.12,0,2.899351,2.899351,2.899351
1502,3,"1502-3-15 00:00:00",1502.21,0,2.915802,2.915802,2.915802
1502,4,"1502-4-15 00:00:00",1502.29,-0.015052,2.623004,2.623004,2.607952
1502,5,"1502-5-15 00:00:00",1502.38,-0.020291,2.441495,2.441495,2.421204
1502,6,"1502-6-15 00:00:00",1502.46,-0.020291,2.217666,2.217666,2.197375
1502,7,"1502-7-15 00:00:00",1502.54,-1.5,0,-1.5,-1.5
1502,8,"1502-8-15 00:00:00",1502.62,-1.881156,0,-1.881156,-1.881156
1502,9,"1502-9-15 00:00:00",1502.71,-0.020291,0.905199,0.905199,0.884908
1502,10,"1502-10-15 00:00:00",1502.79,0,1.220285,1.220285,1.220285
1502,11,"1502-11-15 00:00:00",1502.88,0,1.945726,1.945726,1.945726
1502,12,"1502-12-15 00:00:00",1502.96,0,2.06315,2.06315,2.06315
1503,1,"1503-1-15 00:00:00",1503.04,0,2.179323,2.179323,2.179323
1503,2,"1503-2-15 00:00:00",1503.12,0,2.291056,2.291056,2.291056
1503,3,"1503-3-15 00:00:00",1503.21,-0.015052,2.093663,2.093663,2.078611
1503,4,"1503-4-15 00:00:00",1503.29,-0.935303,0,-0.935303,-0.935303
1503,5,"1503-5-15 00:00:00",1503.38,-1.881156,0,-1.881156,-1.881156
1503,6,"1503-6-15 00:00:00",1503.46,-2.117858,0,-2.117858,-2.117858
1503,7,"1503-7-15 00:00:00",1503.54,-2.535959,0,-2.535959,-2.535959
1503,8,"1503-8-15 00:00:00",1503.62,-2.239553,0,-2.239553,-2.239553
1503,9,"1503-9-15 00:00:00",1503.71,0,0.905199,0.905199,0.905199
1503,10,"1503-10-15 00:00:00",1503.79,0,1.840574,1.840574,1.840574
1503,11,"1503-11-15 00:00:00",1503.88,0,2.06315,2.06315,2.06315
1503,12,"1503-12-15 00:00:00",1503.96,-0.015052,2.06315,2.06315,2.048098
1504,1,"1504-1-15 00:00:00",1504.04,0,2.547563,2.547563,2.547563
1504,2,"1504-2-15 00:00:00",1504.12,0,2.954952,2.954952,2.954952
1504,3,"1504-3-15 00:00:00",1504.21,-0.015052,2.701799,2.701799,2.686747
1504,4,"1504-4-15 00:00:00",1504.29,-1.5,0,-1.5,-1.5
1504,5,"1504-5-15 00:00:00",1504.38,-2,0,-2,-2
1504,6,"1504-6-15 00:00:00",1504.46,-2.535959,0,-2.535959,-2.535959
1504,7,"1504-7-15 00:00:00",1504.54,-2.95406,0,-2.95406,-2.95406
1504,8,"1504-8-15 00:00:00",1504.62,-2.976033,0,-2.976033,-2.976033
1504,9,"1504-9-15 00:00:00",1504.71,-2.688157,0,-2.688157,-2.688157
1504,10,"1504-10-15 00:00:00",1504.79,-2.467359,0,-2.467359,-2.467359
1504,11,"1504-11-15 00:00:00",1504.88,-2.291418,0,-2.291418,-2.291418
1504,12,"1504-12-15 00:00:00",1504.96,-2.147171,0,-2.147171,-2.147171
1505,1,"1505-1-15 00:00:00",1505.04,0,0.905199,0.905199,0.905199
1505,2,"1505-2-15 00:00:00",1505.12,0,1.220285,1.220285,1.220285
1505,3,"1505-3-15 00:00:00",1505.21,-0.015052,0.599997,0.599997,0.584945
1505,4,"1505-4-15 00:00:00",1505.29,-0.020291,0,-0.020291,-0.020291
1505,5,"1505-5-15 00:00:00",1505.38,-0.020291,0,-0.020291,-0.020291
1505,6,"1505-6-15 00:00:00",1505.46,-0.020291,0,-0.020291,-0.020291
1505,7,"1505-7-15 00:00:00",1505.54,0,1.5,1.5,1.5
1505,8,"1505-8-15 00:00:00",1505.62,0,2,2,2
1505,9,"1505-9-15 00:00:00",1505.71,0,2.06315,2.06315,2.06315
1505,10,"1505-10-15 00:00:00",1505.79,0,2.48125,2.48125,2.48125
1505,11,"1505-11-15 00:00:00",1505.88,-0.015052,2.179323,2.179323,2.164271
1505,12,"1505-12-15 00:00:00",1505.96,-0.020291,0,-0.020291,-0.020291
1506,1,"1506-1-15 00:00:00",1506.04,-0.020291,0,-0.020291,-0.020291
1506,2,"1506-2-15 00:00:00",1506.12,-0.020291,0,-0.020291,-0.020291
1506,3,"1506-3-15 00:00:00",1506.21,-0.020291,0,-0.020291,-0.020291
1506,4,"1506-4-15 00:00:00",1506.29,-0.020291,0,-0.020291,-0.020291
1506,5,"1506-5-15 00:00:00",1506.38,-0.020291,0,-0.020291,-0.020291
