"year","month","time","ts","spi1","spi2","spi3","spi4","spi5","spi6","spi7","spi8","spi9","spi10","spi11","spi12"
1500,1,"1500-1-15 00:00:00",1500.04,-0.459728,-0.31875,-0.259538,-0.225638,-0.2033,-0.187333,-0.175295,-0.165872,-0.158287,-0.152049,-0.146831,-0.142405
1500,2,"1500-2-15 00:00:00",1500.12,-0.063518,-0.354835,-0.288289,-0.250109,-0.224895,-0.20683,-0.193179,-0.182467,-0.173822,-0.166693,-0.160713,-0.155627
1500,3,"1500-3-15 00:00:00",1500.21,0.017191,-0.031416,-0.273431,-0.237463,-0.213736,-0.196755,-0.183937,-0.173891,-0.165794,-0.159126,-0.153539,-0.148794
1500,4,"1500-4-15 00:00:00",1500.29,0.781598,0.541693,0.397281,0.126716,0.10764,0.09341,0.082216,0.073074,0.065398,0.058813,0.053065,0.047979
1500,5,"1500-5-15 00:00:00",1500.38,0.996667,1.205917,0.970119,0.796479,0.516296,0.462378,0.420652,0.387112,0.359379,0.335939,0.31578,0.298192
1500,6,"1500-6-15 00:00:00",1500.46,-1.959488,-0.65293,-0.097918,-0.075434,-0.092345,-0.251828,-0.234452,-0.220765,-0.209674,-0.20049,-0.192753,-0.186141
1500,7,"1500-7-15 00:00:00",1500.54,-1.976419,-2.669106,-1.588126,-0.99225,-0.86865,-0.807563,-0.895247,-0.833921,-0.783669,-0.741579,-0.705702,-0.674681
1500,8,"1500-8-15 00:00:00",1500.62,1.922617,-0.036485,-1.087818,-0.467521,-0.095379,-0.079817,-0.09456,-0.231115,-0.219363,-0.209624,-0.201411,-0.194388
1500,9,"1500-9-15 00:00:00",1500.71,-0.151637,1.200977,-0.111002,-0.9956,-0.47411,-0.141678,-0.124176,-0.135033,-0.260623,-0.248519,-0.238284,-0.229505
1500,10,"1500-10-15 00:00:00",1500.79,-0.284772,-0.295948,0.803026,-0.225437,-0.99415,-0.53241,-0.225663,-0.204033,-0.209546,-0.324054,-0.30989,-0.297705
1500,11,"1500-11-15 00:00:00",1500.88,0.131483,-0.103952,-0.164758,0.743939,-0.145581,-0.849425,-0.444162,-0.16839,-0.152617,-0.161348,-0.272898,-0.262473
1500,12,"1500-12-15 00:00:00",1500.96,0.21393,0.234239,0.032765,-0.041847,0.743319,-0.053056,-0.707234,-0.345425,-0.09518,-0.084992,-0.097144,-0.206754
1501,1,"1501-1-15 00:00:00",1501.04,0.331178,0.369661,0.365575,0.180189,0.097472,0.792478,0.062641,-0.552965,-0.226677,0.001419,0.005831,-0.01023
1501,2,"1501-2-15 00:00:00",1501.12,0.342521,0.456864,0.479603,0.468666,0.298014,0.21351,0.842018,0.164944,-0.417652,-0.119418,0.090708,0.090663
1501,3,"1501-3-15 00:00:00",1501.21,0.886566,0.833496,0.843041,0.815912,0.773373,0.593921,0.493809,1.057802,0.413238,-0.149719,0.118093,0.306686
1501,4,"1501-4-15 00:00:00",1501.29,0.781598,1.131253,1.086411,1.07697,1.037206,0.984653,0.807462,0.701961,1.218425,0.604649,0.061983,0.306686
1501,5,"1501-5-15 00:00:00",1501.38,0.518571,0.8817,1.181534,1.163147,1.160837,1.126487,1.077459,0.910973,0.808522,1.291289,0.708497,0.187888
1501,6,"1501-6-15 00:00:00",1501.46,0.044957,0.382152,0.726797,1.026305,1.044682,1.064574,1.048379,1.013804,0.865917,0.774543,1.235865,0.685953
1501,7,"1501-7-15 00:00:00",1501.54,0.501286,0.370431,0.575339,0.849123,1.109113,1.126904,1.144957,1.129131,1.095402,0.954232,0.865046,1.301614
1501,8,"1501-8-15 00:00:00",1501.62,2.211604,1.839726,1.490117,1.50675,1.646847,1.81176,1.776953,1.752131,1.702682,1.641254,1.481605,1.373422
1501,9,"1501-9-15 00:00:00",1501.71,-0.151637,1.396951,1.383893,1.198537,1.268116,1.431349,1.610871,1.601559,1.595956,1.563337,1.516339,1.373422
1501,10,"1501-10-15 00:00:00",1501.79,-0.238667,-0.264682,0.984083,1.068105,0.96081,1.05751,1.232689,1.420308,1.429593,1.438779,1.419769,1.384878
1501,11,"1501-11-15 00:00:00",1501.88,1.265295,0.6962,0.472774,1.419455,1.456054,1.33112,1.395255,1.538419,1.698992,1.695855,1.694065,1.666608
1501,12,"1501-12-15 00:00:00",1501.96,1.605508,1.946813,1.422192,1.140725,1.904176,1.902926,1.760566,1.795366,1.908883,2.043439,2.026532,2.012388
1502,1,"1502-1-15 00:00:00",1502.04,0.319066,1.305135,1.723546,1.357191,1.136135,1.836158,1.852692,1.733148,1.773849,1.887259,2.020413,2.009378
1502,2,"1502-2-15 00:00:00",1502.12,1.249421,1.063658,1.714969,2.041528,1.70472,1.483602,2.104134,2.108774,1.987217,2.016007,2.11508,2.234725
