"year";"count"
1500;152
1501;422
1502;277
1503;384
1504;304
1505;219
1506;281
1507;416
1508;550
1509;423
1510;525
1511;737
1512;595
1513;1224
1514;1296
1515;1324
1516;1010
1517;1170
1518;994
1519;1133
1520;1032
1521;485
1522;366
1523;523
1524;574
1525;451
1526;546
1527;555
1528;592
1529;1046
1530;622
1531;414
1532;258
1533;327
1534;288
1535;411
1536;278
1537;368
1538;383
1539;618
1540;1084
1541;322
1542;510
1543;286
1544;304
1545;257
1546;243
1547;135
1548;112
1549;220
1550;156
1551;504
1552;588
1553;369
1554;233
1555;373
1556;456
1557;311
1558;342
1559;407
1560;337
1561;275
1562;374
1563;370
1564;402
1565;544
1566;427
1567;405
1568;389
1569;472
1570;737
1571;607
1572;400
1573;664
1574;250
1575;410
1576;463
1577;266
1578;332
1579;540
1580;1647
1581;290
1582;1677
1583;287
1584;441
1585;520
1586;876
1587;1256
1588;2612
1589;1704
1590;1960
1591;1867
1592;2186
1593;2155
1594;316
1595;737
1596;255
1597;333
1598;319
1599;566
1600;359
1601;287
1602;371
1603;312
1604;248
1605;338
1606;407
1607;433
1608;338
1609;378
1610;511
1611;416
1612;403
1613;539
1614;377
1615;500
1616;670
1617;486
1618;320
1619;322
1620;273
1621;310
1622;352
1623;308
1624;582
1625;494
1626;512
1627;550
1628;578
1629;472
1630;350
1631;501
1632;275
1633;381
1634;393
1635;315
1636;267
1637;271
1638;440
1639;355
1640;417
1641;6651
1642;1702
1643;3257
1644;3861
1645;3706
1646;3130
1647;2820
1648;3334
1649;2989
1650;3557
1651;651
1652;462
1653;421
1654;480
1655;530
1656;458
1657;677
1658;866
1659;379
1660;467
1661;689
1662;530
1663;445
1664;359
1665;414
1666;477
1667;365
1668;376
1669;398
1670;345
1671;215
1672;223
1673;289
1674;247
1675;359
1676;389
1677;258
1678;1087
1679;317
1680;492
1681;427
1682;574
1683;1614
1684;900
1685;2099
1686;493
1687;264
1688;182
1689;255
1690;271
1691;339
1692;434
1693;501
1694;500
1695;398
1696;252
1697;325
1698;339
1699;214
1700;2142
1701;271
1702;259
1703;161
1704;204
1705;233
1706;262
1707;236
1708;425
1709;663
1710;169
1711;346
1712;314
1713;405
1714;353
1715;315
1716;229
1717;298
1718;250
1719;360
1720;310
1721;245
1722;203
1723;358
1724;268
1725;272
1726;341
1727;330
1728;382
1729;417
1730;465
1731;342
1732;511
1733;237
1734;248
1735;199
1736;304
1737;253
1738;292
1739;607
1740;1410
1741;276
1742;187
1743;183
1744;350
1745;206
1746;326
1747;206
1748;361
1749;426
1750;467
1751;687
1752;484
1753;355
1754;374
1755;648
1756;786
1757;529
1758;554
1759;621
1760;690
1761;427
1762;596
1763;520
1764;433
1765;348
1766;417
1767;633
1768;672
1769;614
1770;883
1771;927
1772;442
1773;364
1774;464
1775;1202
1776;1310
1777;523
1778;1001
1779;688
1780;710
1781;932
1782;807
1783;1016
1784;2229
1785;1144
1786;831
1787;665
1788;1132
1789;871
1790;584
1791;434
1792;397
1793;371
1794;723
1795;897
1796;572
1797;310
1798;864
1799;844
1800;78
1801;392
1802;129
1803;68
1804;43
1805;175
1806;54
1807;86
1808;34
1809;81
1810;71
1811;62
1812;71
1813;92
1814;648
1815;3388
1816;3558
1817;4054
1818;820
1819;150
1820;74
1821;79
1822;54
1823;132
1824;363
1825;68
1826;70
1827;280
1828;292
1829;768
1830;797
1831;452
1832;294
1833;929
1834;855
1835;501
1836;626
1837;571
1838;510
1839;451
1840;505
1841;308
1842;242
1843;203
1844;424
1845;910
1846;384
1847;208
1848;307
1849;478
1850;1268
1851;1345
1852;1523
1853;1663
1854;1060
1855;361
1856;554
1857;152
1858;192
1859;272
1860;223
1861;593
1862;233
1863;161
1864;191
1865;207
1866;158
1867;302
1868;197
1869;181
1870;558
1871;782
1872;1213
1873;696
1874;139
1875;161
1876;912
1877;596
1878;174
1879;165
1880;520
1881;415
1882;910
1883;342
1884;114
1885;160
1886;145
1887;170
1888;188
1889;137
1890;354
1891;148
1892;174
1893;395
1894;164
1895;767
1896;2310
1897;252
1898;246
1899;234
1900;427
1901;354
1902;439
1903;344
1904;516
1905;165
1906;374
1907;290
1908;267
1909;298
1910;907
1911;241
1912;224
1913;307
1914;403
1915;568
1916;59
1917;70
1918;173
1919;225
1920;100
1921;101
1922;131
1923;95
1924;258
1925;257
1926;215
1927;247
1928;151
1929;133
1930;430
1931;130
1932;158
1933;127
1934;121
1935;419
1936;124
1937;127
1938;114
1939;115
1940;139
1941;125
1942;132
1943;90
1944;145
1945;120
1946;865
1947;414
1948;222
1949;249
1950;294
1951;362
1952;392
1953;407
1954;333
1955;547
1956;358
1957;519
1958;403
1959;292
1960;279
1961;275
1962;335
1963;357
1964;277
1965;616
1966;276
1967;276
1968;420
1969;308
1970;661
1971;291
1972;318
1973;299
1974;357
1975;296
1976;370
1977;313
1978;585
1979;299
1980;872
1981;613
1982;644
1983;861
1984;629
1985;695
1986;707
1987;786
1988;741
1989;667
1990;857
1991;993
1992;683
1993;784
1994;773
1995;709
1996;683
1997;738
1998;670
1999;785
2000;653
2001;699
2002;688
2003;666
2004;647
2005;623
2006;679
2007;767
2008;745
2009;741
2010;719
2011;803
2012;708
2013;755
2014;696
2015;790
2016;849
2017;2846
2018;42215
2019;43
