"year";"count"
1500;15
1501;46
1502;33
1503;70
1504;48
1505;29
1506;20
1507;45
1508;123
1509;103
1510;89
1511;130
1512;111
1513;253
1514;340
1515;370
1516;271
1517;282
1518;282
1519;357
1520;273
1521;88
1522;100
1523;119
1524;74
1525;67
1526;110
1527;87
1528;92
1529;162
1530;84
1531;34
1532;19
1533;29
1534;51
1535;33
1536;40
1537;49
1538;38
1539;68
1540;165
1541;36
1542;37
1543;34
1544;32
1545;30
1546;24
1547;21
1548;16
1549;26
1550;16
1551;79
1552;67
1553;59
1554;37
1555;46
1556;65
1557;31
1558;41
1559;56
1560;31
1561;40
1562;33
1563;34
1564;36
1565;72
1566;37
1567;41
1568;40
1569;67
1570;76
1571;68
1572;42
1573;54
1574;23
1575;30
1576;59
1577;27
1578;52
1579;80
1580;201
1581;51
1582;237
1583;36
1584;36
1585;56
1586;112
1587;202
1588;478
1589;280
1590;258
1591;301
1592;336
1593;246
1594;51
1595;62
1596;38
1597;30
1598;46
1599;50
1600;40
1601;38
1602;24
1603;39
1604;34
1605;41
1606;56
1607;40
1608;49
1609;62
1610;57
1611;45
1612;44
1613;71
1614;43
1615;60
1616;83
1617;37
1618;32
1619;48
1620;28
1621;29
1622;23
1623;43
1624;47
1625;44
1626;41
1627;62
1628;73
1629;47
1630;24
1631;75
1632;30
1633;57
1634;27
1635;26
1636;28
1637;29
1638;51
1639;38
1640;58
1641;476
1642;239
1643;390
1644;516
1645;412
1646;432
1647;323
1648;449
1649;363
1650;477
1651;72
1652;55
1653;62
1654;78
1655;68
1656;78
1657;106
1658;130
1659;52
1660;53
1661;69
1662;54
1663;65
1664;52
1665;47
1666;55
1667;49
1668;45
1669;61
1670;28
1671;26
1672;43
1673;47
1674;24
1675;53
1676;51
1677;32
1678;121
1679;47
1680;41
1681;71
1682;48
1683;185
1684;117
1685;210
1686;60
1687;35
1688;26
1689;37
1690;32
1691;38
1692;60
1693;53
1694;40
1695;35
1696;22
1697;27
1698;54
1699;23
1700;183
1701;36
1702;34
1703;21
1704;20
1705;40
1706;47
1707;26
1708;35
1709;67
1710;18
1711;33
1712;49
1713;52
1714;58
1715;35
1716;22
1717;42
1718;26
1719;67
1720;42
1721;31
1722;25
1723;40
1724;38
1725;41
1726;49
1727;33
1728;37
1729;41
1730;65
1731;45
1732;71
1733;31
1734;33
1735;29
1736;30
1737;32
1738;33
1739;57
1740;146
1741;37
1742;17
1743;25
1744;23
1745;19
1746;52
1747;22
1748;60
1749;68
1750;75
1751;104
1752;103
1753;59
1754;59
1755;72
1756;110
1757;73
1758;81
1759;73
1760;102
1761;68
1762;88
1763;81
1764;74
1765;54
1766;91
1767;77
1768;100
1769;108
1770;175
1771;171
1772;47
1773;55
1774;72
1775;168
1776;148
1777;78
1778;162
1779;74
1780;109
1781;105
1782;124
1783;149
1784;210
1785;256
1786;128
1787;101
1788;157
1789;103
1790;106
1791;49
1792;38
1793;69
1794;101
1795;126
1796;110
1797;55
1798;114
1799;112
1800;26
1801;82
1802;23
1803;20
1804;14
1805;17
1806;12
1807;18
1808;13
1809;16
1810;14
1811;24
1812;21
1813;14
1814;26
1815;67
1816;64
1817;41
1818;15
1819;28
1820;13
1821;19
1822;15
1823;16
1824;43
1825;18
1826;19
1827;72
1828;62
1829;162
1830;146
1831;88
1832;68
1833;119
1834;164
1835;83
1836;125
1837;147
1838;92
1839;77
1840;76
1841;49
1842;104
1843;63
1844;74
1845;130
1846;91
1847;46
1848;62
1849;61
1850;134
1851;132
1852;161
1853;286
1854;156
1855;50
1856;65
1857;47
1858;48
1859;56
1860;62
1861;83
1862;49
1863;51
1864;47
1865;51
1866;36
1867;69
1868;45
1869;44
1870;91
1871;90
1872;107
1873;81
1874;28
1875;55
1876;113
1877;109
1878;54
1879;36
1880;87
1881;88
1882;153
1883;87
1884;36
1885;37
1886;44
1887;46
1888;51
1889;32
1890;93
1891;50
1892;40
1893;61
1894;43
1895;108
1896;178
1897;49
1898;80
1899;64
1900;129
1901;125
1902;113
1903;137
1904;171
1905;53
1906;110
1907;84
1908;90
1909;107
1910;139
1911;65
1912;62
1913;60
1914;86
1915;113
1916;20
1917;22
1918;56
1919;29
1920;25
1921;61
1922;78
1923;53
1924;89
1925;70
1926;93
1927;103
1928;100
1929;77
1930;151
1931;83
1932;88
1933;81
1934;85
1935;123
1936;58
1937;49
1938;50
1939;44
1940;68
1941;63
1942;64
1943;54
1944;79
1945;35
1946;86
1947;92
1948;60
1949;79
1950;85
1951;95
1952;101
1953;95
1954;112
1955;118
1956;97
1957;109
1958;89
1959;85
1960;86
1961;84
1962;85
1963;92
1964;87
1965;95
1966;84
1967;84
1968;93
1969;85
1970;160
1971;85
1972;92
1973;87
1974;91
1975;85
1976;94
1977;88
1978;112
1979;84
1980;208
1981;160
1982;170
1983;209
1984;171
1985;177
1986;199
1987;230
1988;195
1989;192
1990;199
1991;226
1992;192
1993;209
1994;214
1995;193
1996;183
1997;196
1998;183
1999;205
2000;175
2001;185
2002;182
2003;189
2004;185
2005;178
2006;192
2007;226
2008;215
2009;216
2010;219
2011;218
2012;214
2013;223
2014;216
2015;236
2016;249
2017;225
2018;7274
2019;2
