"x","y"
0,2
1,1
2,0
2,1
2,2
2,3
2,4
2,5
2,6
2,7
5,0
5,1
5,2
5,3
5,6
6,0
6,3
6,7
7,0
7,3
7,7
8,0
8,4
8,5
8,6
11,1
11,2
11,3
11,4
11,5
11,6
12,0
12,7
13,0
13,7
14,1
14,2
14,3
14,4
14,5
14,6
17,1
17,2
17,3
17,4
17,5
17,6
18,0
18,7
19,0
19,7
20,1
20,2
20,3
20,4
20,5
20,6
23,3
24,3
25,3
28,1
28,5
28,6
28,7
29,0
29,4
29,7
30,0
30,3
30,7
31,1
31,2
31,7
34,1
34,2
34,3
34,4
34,5
34,6
35,0
35,7
36,0
36,7
37,1
37,2
37,3
37,4
37,5
37,6
40,2
41,1
42,0
42,1
42,2
42,3
42,4
42,5
42,6
42,7
45,1
45,2
45,4
45,5
45,6
46,0
46,3
46,7
47,0
47,3
47,7
48,1
48,2
48,4
48,5
48,6

