"x","y"
0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
1,0
1,7
2,0
2,7
3,1
3,2
3,5
3,6
4,3
4,4
7,2
7,3
7,4
7,5
7,6
7,7
8,3
9,2
12,3
12,4
12,5
12,6
13,2
13,7
14,2
14,7
15,3
15,4
15,5
15,6
18,2
18,3
18,4
18,5
18,6
19,7
20,7
21,2
21,3
21,4
21,5
21,6
24,3
24,4
24,5
24,6
24,9
25,2
25,7
25,10
26,2
26,7
26,10
27,3
27,4
27,5
27,6
27,7
27,8
27,9
20,0
20,1
20,2
20,3
20,4
20,5
20,6
20,7
21,4
22,3
23,4
23,5
23,6
23,7
26,3
27,0
27,1
27,2
27,3
27,4
27,5
27,6
28,7
31,2
31,3
31,6
32,1
32,4
32,7
33,1
33,4
33,7
34,1
34,4
34,7
35,2
35,5
35,6
