"x","y"
0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,8
0,11
0,16
0,18
0,22
0,23
0,24
0,25
0,26
0,27
0,28
1,0
1,6
1,8
1,11
1,12
1,14
1,15
1,20
1,22
1,28
2,0
2,2
2,3
2,4
2,6
2,8
2,13
2,14
2,15
2,16
2,17
2,20
2,22
2,24
2,25
2,26
2,28
3,0
3,2
3,3
3,4
3,6
3,8
3,9
3,10
3,11
3,12
3,15
3,16
3,18
3,19
3,20
3,22
3,24
3,25
3,26
3,28
4,0
4,2
4,3
4,4
4,6
4,9
4,10
4,11
4,14
4,15
4,16
4,17
4,20
4,22
4,24
4,25
4,26
4,28
5,0
5,6
5,9
5,10
5,13
5,14
5,15
5,16
5,17
5,19
5,22
5,28
6,0
6,1
6,2
6,3
6,4
6,5
6,6
6,8
6,10
6,12
6,14
6,16
6,18
6,20
6,22
6,23
6,24
6,25
6,26
6,27
6,28
7,9
7,11
7,12
7,14
7,17
7,19
7,20
8,0
8,2
8,3
8,4
8,6
8,8
8,9
8,10
8,12
8,15
8,17
8,18
8,19
8,21
8,25
8,26
8,27
8,28
9,0
9,3
9,4
9,5
9,7
9,9
9,12
9,13
9,15
9,18
9,19
9,25
9,28
10,4
10,6
10,13
10,15
10,18
10,23
10,24
10,25
10,26
11,2
11,3
11,4
11,7
11,11
11,12
11,13
11,16
11,18
11,20
11,22
11,25
11,26
11,27
12,2
12,5
12,6
12,11
12,14
12,15
12,17
12,18
12,9
12,20
12,21
12,22
12,24
12,25
12,28
13,2
13,4
13,7
13,8
13,11
13,13
13,15
13,17
13,20
13,21
13,22
13,26
14,1
14,4
14,5
14,6
14,7
14,8
14,10
14,11
14,14
14,21
14,24
14,25
14,27
14,28
15,0
15,2
15,3
15,7
15,9
15,11
15,12
15,14
15,19
15,21
15,23
15,24
16,0
16,1
16,2
16,6
16,10
16,1
16,12
16,13
16,14
16,16
16,17
16,18
16,22
16,23
17,2
17,4
17,5
17,7
17,11
17,12
17,13
17,14
17,18
17,19
17,23
17,25
17,26
18,2
18,3
18,4
18,6
18,7
18,8
18,9
18,13
18,14
18,15
18,17
18,19
18,21
18,25
19,5
19,7
19,8
19,9
19,10
19,14
19,15
19,17
19,19
19,20
19,21
19,22
19,24
19,26
19,27
19,28
20,3
20,5
20,6
20,7
20,9
20,10
20,13
20,14
20,18
20,19
20,20
20,21
20,22
20,23
20,24
20,27
20,28
21,8
21,14
21,15
21,16
21,17
21,19
21,20
21,24
22,0
22,1
22,2
22,3
22,4
22,5
22,6
22,12
22,13
22,14
22,15
22,16
22,19
22,20
22,22
22,24
22,28
23,0
23,6
23,10
23,11
23,12
23,15
23,16
23,17
23,20
23,24
23,26
23,28
24,0
24,2
24,3
24,4
24,6
24,8
24,10
24,13
24,14
24,15
24,20
24,21
24,22
24,23
24,24
24,25
24,26
25,0
25,2
25,3
25,4
25,6
25,8
25,9
25,10
25,13
25,18
25,22
25,23
25,26
25,27
25,28
26,0
26,2
26,3
26,4
26,6
26,8
26,13
26,14
26,16
26,18
26,19
26,20
26,23
26,24
26,25
26,26
26,27
27,0
27,6
27,9
27,10
27,11
27,15
27,16
27,17
27,18
27,21
27,22
27,24
27,25
27,28
28,0
28,1
28,2
28,3
28,4
28,5
28,6
28,8
28,15
28,19
28,20
28,24
28,26
28,27





